OTU;Group;taxo5;taxo6;LSA_feb_16;LCL_feb_16;LSC_aug_16;LCT_oct_16;LCL_sep_16;LSA_oct_16;LSC_may_16;LSA_aug_16;LSC_oct_16;LCT_jul_17;LCL_nov_16;LCL_jul_17;LSA_may_17;LSC_feb_17;LCL_sep_17_F;LCL_sep_17;LCT_sep_17;LCT_sep_17_F;LSA_sep_17;LSA_sep_17_F;LSC_24_aug_17;LSC_jul_17;LSC_jul_17_F;LSC_31_aug_17;LSC_31_aug_17_F;LCL_jul_17_F;LCT_jul_17_F;LCL_may_17;LCL_mar_17;LSC_mar_17;LCL_jan_17;LCT_mar_17;LSA_feb_17;LCL_feb_17;LCT_jan_17;LCT_feb_17;LSA_mar_17;LSC_may_17;LSA_jan_17;LSC_jan_17;LCT_may_17;LSC_mar_16;LSA_jul_17
342;Chrysophytes;Chromulina;unclassified_chromulina;10;0;2;22;0;0;1;0;11;0;0;0;0;0;0;0;1;5;0;0;4;9;17;10;16;0;13;0;0;3;0;2;48;0;0;0;2;2;132;0;0;0;0
591;Chrysophytes;Chromulina;unclassified_chromulina;0;0;5;8;0;0;31;0;3;0;0;0;0;0;0;0;11;85;0;0;1;3;5;9;7;0;13;0;0;3;0;13;0;0;0;0;0;3;0;1;6;0;0
718;Chrysophytes;Chromulina;unclassified_chromulina;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;18;0;0;0;1;13;3;27;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;Chrysophytes;Chrysosphaera;unclassified_chrysosphaera;0;0;0;31;0;0;109;0;57;16;0;0;0;0;0;0;325;8;0;0;1;5;7;49;26;0;6;0;0;0;0;0;0;0;0;0;0;14;0;0;3;0;0
620;Chrysophytes;Chrysosphaera;unclassified_chrysosphaera;101;2;1;2;0;0;9;0;2;3;13;0;1;1;3;0;5;2;0;0;0;1;2;1;1;0;2;0;1;2;5;18;11;0;1;2;7;15;4;0;1;0;0
649;Chrysophytes;Chrysosphaera;unclassified_chrysosphaera;0;0;0;9;0;0;0;0;0;30;0;0;0;0;0;0;97;41;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Chrysophytes;Dinobryon;LO226KS;0;1;28;109;228;0;297;0;91;4;87;87;0;0;96;164;232;15;0;0;26;66;26;47;45;46;6;321;1;1;2;3;0;0;0;0;0;298;0;2;45;3;0
126;Chrysophytes;Dinobryon;LO226KS;0;0;117;209;491;0;671;0;203;303;34;111;0;2;792;246;494;21;0;0;672;140;868;718;692;29;135;3719;6;22;0;32;0;0;47;8;0;222;3;10;230;107;0
582;Chrysophytes;Dinobryon;LO226KS;0;0;6;3;56;0;20;0;4;1;4;15;0;0;6;54;9;0;0;0;1;4;3;4;5;1;1;89;0;0;0;1;0;0;2;0;0;17;0;0;1;0;0
667;Chrysophytes;Dinobryon;LO226KS;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;21;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Chrysophytes;Epipyxis;PR26KG;3;0;55;44;166;2;555;3;281;198;31;54;292;3;79;100;253;273;0;0;64;245;111;463;258;209;49;263;0;16;0;91;0;0;0;3;1;531;1;2;72;15;12
74;Chrysophytes;Epipyxis;PR26KG;0;0;19;32;49;0;163;0;52;25;47;35;11;1;22;83;132;12;0;0;14;90;39;60;51;78;12;136;0;3;0;5;0;0;0;0;0;180;0;1;17;3;2
99;Chrysophytes;Epipyxis;PR26KG;0;0;18;95;52;0;575;0;99;28;6;31;0;0;27;81;225;18;0;0;29;230;67;107;58;89;181;440;0;0;1;1;0;0;4;1;0;120;0;1;130;0;0
106;Chrysophytes;Epipyxis;PR26KG;0;0;55;20;3;0;45;0;356;1;0;1;0;2;0;3;17;0;0;0;15;195;42;189;180;4;3;0;0;3;0;2;0;0;1;0;0;69;0;2;34;0;0
206;Chrysophytes;Epipyxis;PR26KG;22;163;0;5;0;0;2;0;0;0;2;0;0;1;0;1;1;0;0;0;0;3;0;1;0;0;2;0;754;371;0;57;2;0;5;19;21;8;159;4;1;86;0
580;Chrysophytes;Epipyxis;PR26KG;0;0;1;3;0;0;16;0;21;1;0;1;0;0;0;0;0;1;0;0;2;8;3;3;3;6;166;0;0;0;0;0;0;0;5;2;0;15;0;2;10;4;0
